Tissue,Symbol,Mode,pvalcis,pvaltrans,pvalcombined,fdrcis,fdrtrans,fdrcombined,chr,pos,endpos,r2cis,r2trans,r2combined,z_cis,z_trans,z_combined,fs_cis,fs_trans,fs_combined,cis_features,trans_features,cis_weight,trans_weight,Description,Type,DirectORIndirect,Score,Average Disease Causing Likelihood
SKLM,RARRES2,combined,1.1371306100372146e-7,NaN,1.1371299837930408e-7,1.8267000724494243e-6,NaN,1.8267000724494243e-6,7,150338317,150341662,0.016997172972294947,1.0065039736956051e-17,0.016997172987583978,-5.303323636345648,NaN,-5.303323736835536,14,43,57,"[""rs2159235"", ""rs7791304"", ""rs57888387"", ""rs11768108"", ""rs7780011"", ""rs7791479"", ""rs1047586"", ""rs6946097"", ""rs7810240"", ""rs11972067"", ""rs1010614"", ""rs3735169"", ""rs4725889"", ""rs10156097""]","[""rs5758629"", ""rs9547234"", ""rs61859980"", ""rs9547232"", ""rs9547250"", ""rs9566123"", ""rs6532754"", ""rs12430831"", ""rs28538009"", ""rs149797111"", ""rs61859012"", ""rs11835814"", ""rs9620001"", ""rs2744387"", ""rs9547233"", ""rs728616"", ""rs11974980"", ""rs915879"", ""rs5996091"", ""rs2788294"", ""rs12737969"", ""rs9547225"", ""rs5022636"", ""rs2274293"", ""rs763263"", ""rs62240992"", ""rs2874915"", ""rs3862518"", ""rs6002546"", ""rs2866015"", ""rs755050"", ""rs9607885"", ""rs57966752"", ""rs2373693"", ""rs9547229"", ""rs883131"", ""rs56317427"", ""rs5996092"", ""rs2413684"", ""rs17837498"", ""rs2784761"", ""rs9547326"", ""rs6464059""]",0.8155982166143443,0.4999825716442237,Retinoic Acid Receptor Responder 2,Protein,Direct,8.07,52.5
SKLM,NCAPH2,cis,0.0014201241723271927,NaN,0.0014201241723271927,0.008645503606111526,NaN,0.008645503606111526,22,50508224,50524780,0.0017344690049868685,NaN,0.0017344690049868685,3.190529346935381,NaN,3.190529346935381,6,0,0,"[""rs131817"", ""rs470120"", ""rs140524"", ""rs131822"", ""rs2782"", ""rs131811""]",String[],NaN,NaN,Non-SMC Condensin II Complex Subunit H2,Protein,Direct,2.79,30.0
SKLM,DNAJA4,cis,2.9721045348967954e-7,NaN,2.9721045348967954e-7,4.4557627020293965e-6,NaN,4.4557627020293965e-6,15,78264086,78282196,0.003762407999062832,NaN,0.003762407999062832,5.125207364906114,NaN,5.125207364906114,11,0,0,"[""rs56101048"", ""rs62007805"", ""rs4887025"", ""rs62007844"", ""rs4887052"", ""rs55718582"", ""rs2176752"", ""rs10152846"", ""rs2012349"", ""rs7179979"", ""rs3743083""]",String[],NaN,NaN,DnaJ Heat Shock Protein Family (Hsp40) Member A4,Protein,Indirect,2.84,61.7
SKLM,BET1L,combined,0.0015726761534377634,NaN,0.00157267666039775,0.009450568049659542,NaN,0.009450568049659542,11,167784,207428,0.07323587605534769,5.782318558396589e-17,0.07323587618180916,-3.1609275409968607,NaN,-3.1609274470997644,15,17,32,"[""rs1023430"", ""rs3802984"", ""rs7124394"", ""rs507139"", ""rs547025"", ""rs10902108"", ""rs536715"", ""rs11246017"", ""rs500840"", ""rs492715"", ""rs7128988"", ""rs72878024"", ""rs17156153"", ""rs10902111"", ""rs480059""]","[""rs76844349"", ""rs13131614"", ""rs10159746"", ""rs10430614"", ""rs4792953"", ""rs4131689"", ""rs12943352"", ""rs12047639"", ""rs17030869"", ""rs74113539"", ""rs5993714"", ""rs12033197"", ""rs1277820"", ""rs74113520"", ""rs1154992"", ""rs74113721"", ""rs60505357""]",0.8041447363141734,0.500010911923481,Bet1 Golgi Vesicular Membrane Trafficking Protein Like,Protein,Direct,2.29,54.0
SKLM,SPPL2A,combined,0.0024020907316759884,NaN,0.002402075019191947,0.013494798642636816,NaN,0.013494798642636816,15,50702266,50765709,0.003514026277730851,6.865284641690616e-16,0.0035140261436136895,3.0354097854631497,NaN,3.0354117580600706,35,34,69,"[""rs12595082"", ""rs55757828"", ""rs12917462"", ""rs12900916"", ""rs12905672"", ""rs12595393"", ""rs12898588"", ""rs3098199"", ""rs12899943"", ""rs11856609"", ""rs2083254"", ""rs12912841"", ""rs17521789"", ""rs60155540"", ""rs17703518"", ""rs12913657"", ""rs17645935"", ""rs2414077"", ""rs12912192"", ""rs12440864"", ""rs34874493"", ""rs10519284"", ""rs12592941"", ""rs11858096"", ""rs12912921"", ""rs7170939"", ""rs12911753"", ""rs3105595"", ""rs3131600"", ""rs7170009"", ""rs28641162"", ""rs12904353"", ""rs76523702"", ""rs11853182"", ""rs12911654""]","[""rs10179959"", ""rs4783670"", ""rs11030027"", ""rs8045921"", ""rs35097671"", ""rs17527979"", ""rs10055534"", ""rs2902186"", ""rs2757598"", ""rs147394126"", ""rs56350099"", ""rs8061575"", ""rs35228546"", ""rs56052029"", ""rs10165339"", ""rs815622"", ""rs10835187"", ""rs4917799"", ""rs62128457"", ""rs35866618"", ""rs12935214"", ""rs12932357"", ""rs6484304"", ""rs12444968"", ""rs12448494"", ""rs7197451"", ""rs62010212"", ""rs6498228"", ""rs3842836"", ""rs1021022"", ""rs1256439"", ""rs11075006"", ""rs58928207"", ""rs3912073""]",0.9999999997382512,0.9882332840273974,Signal Peptide Peptidase Like 2A,Protein,Direct,2.2,31.9
SKLM,KDR,combined,0.002195045532676255,NaN,0.002195039012620026,0.012506710866156663,NaN,0.012506710866156663,4,55078481,55125595,0.005175305447051353,8.079794620028254e-16,0.005175305688694206,3.06248898591933,NaN,3.0624898749174387,1,28,29,"[""rs7675314""]","[""rs4455682"", ""rs7233661"", ""rs10015111"", ""rs3774774"", ""rs36143012"", ""rs9975538"", ""rs9800736"", ""rs2186278"", ""rs12195866"", ""rs80253208"", ""rs3798761"", ""rs9393173"", ""rs12175504"", ""rs78555607"", ""rs7242727"", ""rs11726671"", ""rs4817554"", ""rs2186277"", ""rs9976829"", ""rs11150340"", ""rs114743434"", ""rs28419143"", ""rs2911151"", ""rs12607810"", ""rs1210712"", ""rs77277003"", ""rs16975459"", ""rs56859756""]",0.9999999991692281,0.9993626231188413,Kinase Insert Domain Receptor,Protein,Direct,10.35,23.8
SKLM,PPARGC1A,trans,NaN,1.1013386625902683e-10,1.1013386625902683e-10,NaN,2.8133804110247093e-9,2.8133804110247093e-9,4,23755041,23904089,NaN,0.0010198832146303468,0.0010198832146303468,NaN,-6.45234312547813,-6.45234312547813,0,9,0,String[],"[""rs3131059"", ""rs28362351"", ""rs28742573"", ""rs9266002"", ""rs113997854"", ""rs9501072"", ""rs2839108"", ""rs9468885"", ""rs28362334""]",NaN,NaN,PPARG Coactivator 1 Alpha,Protein,Direct,10.6,48.4
SKLM,TOP3A,combined,0.00020112608664326766,NaN,0.0002011261694702059,0.0015928703561445849,NaN,0.0015928703561445849,17,18271428,18315007,0.010341922582525141,1.4030737755632182e-16,0.010341922543713019,-3.7175978611682874,NaN,-3.7175977570990772,14,25,39,"[""rs59366579"", ""rs6502644"", ""rs854784"", ""rs9893807"", ""rs9901160"", ""rs2294914"", ""rs9913139"", ""rs1975822"", ""rs57476545"", ""rs4925172"", ""rs2290505"", ""rs6502649"", ""rs11868708"", ""rs643333""]","[""rs10838768"", ""rs1228000"", ""rs34909049"", ""rs9908031"", ""rs12790666"", ""rs798518"", ""rs11872032"", ""rs2779208"", ""rs9891709"", ""rs57436966"", ""rs7103835"", ""rs12226590"", ""rs10769282"", ""rs79368019"", ""rs77684932"", ""rs1228019"", ""rs77210655"", ""rs10838767"", ""rs12787646"", ""rs6502491"", ""rs7207889"", ""rs12366244"", ""rs11039284"", ""rs79095053"", ""rs17198607""]",0.9740834544040566,0.49996186379961727,DNA Topoisomerase III Alpha,Protein,Direct,4.66,52.6
SKLM,SYNE2,combined,7.107215602807981e-6,NaN,7.107218680759378e-6,8.22316562814682e-5,NaN,8.22316562814682e-5,14,63761899,64226433,0.00815534225574381,5.687092109190336e-16,0.008155342394232531,-4.490452103874061,NaN,-4.490452011635326,11,19,30,"[""rs944046"", ""rs1760988"", ""rs1950902"", ""rs1152587"", ""rs1256117"", ""rs8020646"", ""rs953592"", ""rs1152584"", ""rs141381241"", ""rs1152577"", ""rs1152583""]","[""rs61788356"", ""rs75802547"", ""rs10819756"", ""rs3745764"", ""rs2254335"", ""rs6429569"", ""rs10819757"", ""rs12986074"", ""rs621111"", ""rs532639"", ""rs34490389"", ""rs12684939"", ""rs10989064"", ""rs12049503"", ""rs11211139"", ""rs10003817"", ""rs73491444"", ""rs11083442"", ""rs113730735""]",0.9999999995719571,0.9926450820500601,Spectrin Repeat Containing Nuclear Envelope Protein 2,Protein,Direct,4.88,0.9
SKLM,FADS2,combined,0.002211038295472271,NaN,0.0018589272455945703,0.012560486200204229,NaN,0.010894333853174117,11,61792980,61867354,0.006041397964195196,6.752110964467651e-5,0.006096848287784038,3.06031565104045,NaN,3.1118916309619222,2,9,11,"[""rs61896141"", ""rs968567""]","[""rs3750518"", ""rs6560664"", ""rs7857270"", ""rs13631"", ""rs1129434"", ""rs7037849"", ""rs41302685"", ""rs4880208"", ""rs1105834""]",0.999999999616228,0.06199699925922812,Fatty Acid Desaturase 2,Protein,Direct,7.6,91.8
SKLM,BCAR1,combined,1.7620314585786827e-65,NaN,1.762031481365459e-65,6.956286708857334e-63,NaN,6.956286708857334e-63,16,75228181,75268053,0.001027940096558649,4.0188520800804703e-22,0.001027940096608537,17.089990306708064,NaN,17.089990305953922,8,37,45,"[""rs8062169"", ""rs73605136"", ""rs60879082"", ""rs2865532"", ""rs8063014"", ""rs13337397"", ""rs73605139"", ""rs60852020""]","[""rs9611950"", ""rs12048617"", ""rs72804885"", ""rs738389"", ""rs631133"", ""rs75300399"", ""rs6002985"", ""rs28530483"", ""rs6874972"", ""rs3890076"", ""rs9686231"", ""rs5759052"", ""rs61859019"", ""rs706845"", ""rs61860415"", ""rs12448294"", ""rs17139314"", ""rs72804892"", ""rs2092664"", ""rs10054966"", ""rs4872513"", ""rs73219561"", ""rs9607980"", ""rs5759007"", ""rs5751397"", ""rs8135830"", ""rs416032"", ""rs5759054"", ""rs2413735"", ""rs155577"", ""rs12060659"", ""rs9547074"", ""rs7734614"", ""rs4822215"", ""rs61859018"", ""rs1382339"", ""rs2016623""]",0.999999998852772,0.0009500119420647408,"BCAR1 Scaffold Protein, Cas Family Member",Protein,Direct,3.68,26.2
SKLM,ADH1B,combined,4.0140534283705805e-19,NaN,4.0140534283705805e-19,2.6147544032405963e-17,NaN,2.6147544032405963e-17,4,99304971,99352760,0.0022059971941276145,2.5764588916567476e-35,0.0022059971941276145,8.936578675564816,NaN,8.936578675564816,4,26,30,"[""rs13110291"", ""rs73832805"", ""rs56899508"", ""rs13138907""]","[""rs7791679"", ""rs2916738"", ""rs62126199"", ""rs2440402"", ""rs11083617"", ""rs10417997"", ""rs9806699"", ""rs10128358"", ""rs1153845"", ""rs17391070"", ""rs12595087"", ""rs11076185"", ""rs1148962"", ""rs62117462"", ""rs2916737"", ""rs123506"", ""rs4803469"", ""rs72864072"", ""rs12144196"", ""rs56232384"", ""rs11030036"", ""rs61065748"", ""rs34977988"", ""rs72738979"", ""rs62250122"", ""rs10767644""]",0.9999999999999997,2.0529323820538333e-10,"Alcohol Dehydrogenase 1B (Class I), Beta Polypeptide",Protein,Direct,3.71,20.0
SKLM,THOC5,cis,4.762808928857343e-45,NaN,4.762808928857343e-45,9.124981577228451e-43,NaN,9.124981577228451e-43,22,29505879,29555216,0.004567144856851174,NaN,0.004567144856851174,14.084010842995722,NaN,14.084010842995722,26,0,0,"[""rs11913885"", ""rs4823044"", ""rs11704049"", ""rs4820005"", ""rs4820007"", ""rs5753078"", ""rs10427614"", ""rs737813"", ""rs6006179"", ""rs737977"", ""rs2302141"", ""rs11912350"", ""rs112989565"", ""rs12628784"", ""rs2074948"", ""rs17730748"", ""rs737976"", ""rs77767504"", ""rs4390846"", ""rs5749067"", ""rs8136826"", ""rs2299825"", ""rs17657653"", ""rs5763293"", ""rs2530658"", ""rs4820834""]",String[],NaN,NaN,THO Complex Subunit 5,Protein,Indirect,2.33,47.9
SKLM,ITIH4,combined,3.935531313039626e-11,NaN,3.935546295949225e-11,1.0681728571588856e-9,NaN,1.0681728571588856e-9,3,52812962,52830688,0.004806371373880043,1.5255612054958425e-15,0.0048063717664400514,-6.606484621107684,NaN,-6.606484057229377,25,46,71,"[""rs13091025"", ""rs12496077"", ""rs2071044"", ""rs3774364"", ""rs4687684"", ""rs2276816"", ""rs1004807"", ""rs2245538"", ""rs1573815"", ""rs35004449"", ""rs2071041"", ""rs11719137"", ""rs2071040"", ""rs648514"", ""rs11922961"", ""rs12488303"", ""rs2276817"", ""rs3852064"", ""rs7612624"", ""rs2245647"", ""rs2239547"", ""rs2071042"", ""rs11918800"", ""rs2276825"", ""rs7617468""]","[""rs7950932"", ""rs1836039"", ""rs4687650"", ""rs7088367"", ""rs1010554"", ""rs3113384"", ""rs55729345"", ""rs2412919"", ""rs2011356"", ""rs2390586"", ""rs2079929"", ""rs6546125"", ""rs3121488"", ""rs7918841"", ""rs6692958"", ""rs12243696"", ""rs1368507"", ""rs78730397"", ""rs3860075"", ""rs17518229"", ""rs919015"", ""rs3844291"", ""rs585283"", ""rs9429106"", ""rs963892"", ""rs12243176"", ""rs6658037"", ""rs4919721"", ""rs2581819"", ""rs2060286"", ""rs34291015"", ""rs12511921"", ""rs12497998"", ""rs10470917"", ""rs3121465"", ""rs6848387"", ""rs4687648"", ""rs6585247"", ""rs45512594"", ""rs13082960"", ""rs6787154"", ""rs6790330"", ""rs4472708"", ""rs7091079"", ""rs16997770"", ""rs3117715""]",0.9999999999999988,0.9999999981380316,Inter-Alpha-Trypsin Inhibitor Heavy Chain 4,Protein,Direct,5.11,13.4
SKLM,NDUFS7,trans,NaN,5.348525410386776e-5,5.348525410386776e-5,NaN,0.00048490319447821095,0.00048490319447821095,19,1383527,1395589,NaN,0.0018944398360446022,0.0018944398360446022,NaN,4.039850627584074,4.039850627584074,0,20,0,String[],"[""rs72922272"", ""rs1390956"", ""rs9388573"", ""rs7777266"", ""rs11208552"", ""rs1973420"", ""rs8045320"", ""rs4802116"", ""rs4783633"", ""rs7756802"", ""rs6919803"", ""rs317713"", ""rs7249159"", ""rs1303940"", ""rs1303941"", ""rs2241711"", ""rs10889503"", ""rs9401956"", ""rs1834101"", ""rs9401957""]",NaN,NaN,NADH:Ubiquinone Oxidoreductase Core Subunit S7,Protein,Direct,3.37,25.8
SKLM,B2M,trans,NaN,1.7627547191987884e-9,1.7627547191987884e-9,NaN,3.7586200461083166e-8,3.7586200461083166e-8,15,44711487,44718851,NaN,0.004487353919795415,0.004487353919795415,NaN,-6.018284235574851,-6.018284235574851,0,27,0,String[],"[""rs12092383"", ""rs56261565"", ""rs13076790"", ""rs34863113"", ""rs971362"", ""rs11775467"", ""rs4678218"", ""rs2241717"", ""rs2407697"", ""rs7992396"", ""rs12462166"", ""rs11707405"", ""rs3745290"", ""rs57772271"", ""rs11544484"", ""rs10753083"", ""rs2241715"", ""rs7337571"", ""rs11720401"", ""rs3829019"", ""rs12680498"", ""rs6700517"", ""rs34617726"", ""rs71330976"", ""rs13095775"", ""rs62523445"", ""rs7992294""]",NaN,NaN,Beta-2-Microglobulin,Protein,Direct,4.36,
SKLM,CALM2,trans,NaN,5.20204928744918e-17,5.20204928744918e-17,NaN,2.6682007132633035e-15,2.6682007132633035e-15,2,47160083,47176921,NaN,0.002052290615853634,0.002052290615853634,NaN,-8.382034699227674,-8.382034699227674,0,6,0,String[],"[""rs35341163"", ""rs318095"", ""rs72675462"", ""rs6696692"", ""rs832410"", ""rs769236""]",NaN,NaN,Calmodulin 2,Protein,Direct,19.02,69.7
SKLM,ACADS,combined,1.8794734532858943e-20,NaN,1.879509627882286e-20,1.3307745343505664e-18,NaN,1.3307745343505664e-18,12,120725774,120740008,0.002375960651740742,5.332187241055021e-16,0.0023759607158397675,9.268972698566563,NaN,9.268970645438454,24,28,52,"[""rs589466"", ""rs10774566"", ""rs35525135"", ""rs113715693"", ""rs1177585"", ""rs541619"", ""rs1168948"", ""rs11065286"", ""rs10431385"", ""rs112883162"", ""rs112351333"", ""rs9204"", ""rs57830821"", ""rs624216"", ""rs3829290"", ""rs76215734"", ""rs572016"", ""rs12826999"", ""rs708783"", ""rs6490300"", ""rs34673751"", ""rs7312316"", ""rs791707"", ""rs1464516""]","[""rs585510"", ""rs149917102"", ""rs116871736"", ""rs729180"", ""rs77999813"", ""rs10437835"", ""rs12592995"", ""rs73022265"", ""rs1563333"", ""rs11030032"", ""rs6998692"", ""rs143329811"", ""rs59230801"", ""rs115568575"", ""rs111860482"", ""rs4321866"", ""rs882616"", ""rs2607296"", ""rs748350"", ""rs11614224"", ""rs59650417"", ""rs2306643"", ""rs140688730"", ""rs12594746"", ""rs4415978"", ""rs8026945"", ""rs146328331"", ""rs2291317""]",0.6061596908804903,0.9999999995832016,Acyl-CoA Dehydrogenase Short Chain,Protein,Direct,5.02,38.8
