Tissue,Mode,Nsig,gene,pval,fdr,chr,_start,_end
AOR,trans,1,CTR9,1.5328309480561577e-7,2.161555291297155e-6,11,10751246,10801625
AOR,combined,1,YBX3,0.0006700042912862198,0.004328233643090255,12,10699089,10723323
AOR,combined,1,PNMA8A,6.916197553595898e-13,1.9406505189254978e-11,19,46466491,46471563
AOR,cis,1,DYRK2,0.00012720185684963122,0.000998691699938109,12,67648338,67665406
AOR,cis,1,B4GALT6,0.0005710569300740409,0.0037792128839983724,18,31622246,31685836
AOR,trans,1,PKD1P5,0.000767771290830827,0.004877900261041225,16,18374521,18401940
AOR,cis,1,CPLANE2,8.687971824152195e-5,0.0007187858522766324,1,16231692,16237183
AOR,trans,1,CHD4,0.0007914580650163566,0.005015312289759046,12,6570082,6614524
AOR,cis,1,ZNF165,8.94058497541469e-7,1.1123609511113818e-5,6,28080568,28089563
AOR,trans,1,SRSF7,0.0011529143474912566,0.006910395590805527,2,38743599,38751494
AOR,trans,1,SYNE2,3.9100388433451946e-7,5.177613935766613e-6,14,63761899,64226433
AOR,combined,1,ZNF613,1.2791745995982677e-14,4.1099458179180675e-13,19,51927147,51948759
AOR,combined,1,CRELD2,0.0001572416305792293,0.0012028591728071995,22,49918167,49927540
AOR,cis,1,ENPP1,0.0016415724948892418,0.009334168923681769,6,131808016,131895155
AOR,combined,1,RP11-578O24,0.0010345378128898543,0.006296810643962578,,,
AOR,combined,1,FADS2,0.0004218144844853868,0.0028875248070011805,11,61792980,61867354
AOR,cis,1,DNAL1,5.92732057741127e-8,8.869140176169433e-7,14,73644875,73703732
AOR,cis,1,LRCH4,4.156541929380391e-5,0.00037233141216673975,7,100574011,100586129
AOR,combined,1,ABHD12,5.37273601432741e-43,5.255168448155569e-41,20,25294742,25390835
AOR,trans,1,TSHZ1,0.0009570507623966281,0.005920564421378073,18,75210755,75289950
AOR,combined,1,BCAR1,8.596070544421869e-19,3.751222545937412e-17,16,75228181,75268053
AOR,combined,1,PPP1R16B,5.5608882310019115e-8,8.380889180311025e-7,20,38805697,38923024
AOR,cis,1,PPP2R3A,4.994972478191906e-65,8.905061299839936e-63,3,135965728,136147894
AOR,trans,1,CFAP69,8.658212472210985e-11,1.917794062594733e-9,7,90245174,90311063
AOR,combined,1,LINC00910,5.6768644438344286e-33,4.048296648995879e-31,17,43338741,43389199
AOR,cis,1,NEK11,8.115557254735943e-6,8.396414119390285e-5,3,131026850,131350465
AOR,combined,1,EPB41L2,9.380678642194647e-6,9.470727974464334e-5,6,130839347,131063322
AOR,cis,1,PTK7,5.94554932885759e-7,7.591090448783328e-6,6,43076307,43161719
AOR,combined,1,ENSG00000230177,0.002127006852423024,0.011742716456031792,,,
AOR,combined,1,HLA-DQB1,9.253365539629259e-5,0.0007599716338417986,6,32659467,32668383
AOR,combined,1,XXbac-BPG116M5,8.2471971581269e-30,5.358478989532373e-28,,,
AOR,combined,1,LRRC8C,1.3298895945629378e-6,1.6048982099634103e-5,1,89633072,89769903
AOR,cis,1,RP11-815J4,0.0002332779466878092,0.0017094186980596904,,,
AOR,combined,1,RPRML,2.0324235443303366e-13,5.954376088967571e-12,17,46978156,46979253
AOR,cis,1,IQCH-AS1,4.79988470409199e-8,7.355295019823983e-7,15,67290636,67521844
AOR,combined,1,THOC5,8.422696784739117e-79,1.865630710831032e-76,22,29505879,29555216
AOR,combined,1,ITIH4,6.2901311761134245e-12,1.602010934905961e-10,3,52812962,52830688
AOR,cis,1,RP1-228P16,3.8308462696914265e-12,1.0072507485003411e-10,,,
AOR,trans,1,DNAH17,1.5674275428292824e-7,2.1990617321133664e-6,17,78423697,78577396
AOR,trans,1,PPL,0.0013504318258654063,0.007899945122979741,16,4882507,4960741
AOR,cis,1,RP13-631K18,0.000139893048397917,0.0010878172736857174,,,
AOR,cis,1,B3GLCT,5.327454325205175e-5,0.00046566483792349634,13,31199975,31332276
AOR,cis,1,COQ8A,0.0015049933874970037,0.008662007217251456,1,226940286,226987544
AOR,trans,1,TIMMDC1,6.888436056481993e-24,3.6618926076258276e-22,3,119498547,119525090
AOR,trans,1,NID1,8.347330369708466e-6,8.624001602457106e-5,1,235975830,236065109
AOR,cis,1,LLGL2,4.3195815079451644e-12,1.1316839079686444e-10,17,75525080,75575209
AOR,combined,1,MFF,2.905460130651501e-5,0.0002671378720125427,2,227325151,227357836
AOR,combined,1,CDK8,0.00012278740117494395,0.0009676706295291135,13,26254104,26405238
AOR,combined,1,AAMDC,8.567827824854512e-9,1.4430077761699092e-7,11,77821109,77918432
AOR,cis,1,PGM2L1,0.0008017635011478255,0.005072980495682108,11,74330316,74398433
AOR,combined,1,ATP10D,0.0005189922891853896,0.003481940466085916,4,47485275,47593486
AOR,combined,1,CEP63,1.5038748881980565e-69,3.053492637578978e-67,3,134485699,134587789
AOR,combined,1,LXN,4.473299549826833e-12,1.1678436185771323e-10,3,158645822,158672648
AOR,combined,1,PCDHGB2,5.05761262451842e-12,1.310943953153099e-10,5,141359994,141512975
AOR,trans,1,DDX42,1.602662638062078e-6,1.9125979678228177e-5,17,63773603,63819317
AOR,cis,1,CRHR1,0.0020669878973003267,0.011463314139087055,17,45784280,45835828
AOR,combined,1,SSR3,9.595473380236279e-12,2.3457562766835146e-10,3,156539553,156555149
AOR,combined,1,FHL3,3.83357438454481e-16,1.350434436528822e-14,1,37996770,38005606
AOR,cis,1,SPATA20,4.129603793629729e-6,4.495210562849814e-5,17,50543058,50555852
AOR,combined,1,SWAP70,1.3183809816900296e-11,3.1647638664968916e-10,11,9664077,9752993
AOR,combined,1,OIP5-AS1,8.376224565156563e-68,1.6547571205138351e-65,15,41283990,41309737
AOR,combined,1,POLI,2.595668470669104e-5,0.00024138728586164878,18,54269517,54321266
AOR,trans,1,ADAMTSL1,0.0015411241481165167,0.008828249969167461,9,17906563,18910950
AOR,combined,1,RP11-10J21,1.2215803707086382e-6,1.4857141855323681e-5,,,
AOR,combined,1,COLGALT1,2.0362326025144764e-17,7.896004887208076e-16,19,17555649,17583162
AOR,cis,1,DHX58,6.83584948289867e-21,3.287279065476831e-19,17,42101404,42112714
AOR,combined,1,AP000350,1.1321110689415038e-7,1.6178232372293104e-6,,,
AOR,combined,1,PART1,3.1214908260561e-7,4.198074920525678e-6,5,60487713,60548813
AOR,combined,1,IGHMBP2,1.5893155505309989e-6,1.8997717488919746e-5,11,68903863,68940602
AOR,trans,1,CHASERR,2.8609148852439514e-11,6.649239222159194e-10,15,92819540,92899701
AOR,combined,1,NBR1,3.079783993552966e-5,0.0002821012669282632,17,43170481,43211689
AOR,combined,1,ANGPTL1,1.6066549862171527e-5,0.00015523920891392562,1,178849535,178871077
AOR,combined,1,SLC22A5,0.0005199747619005959,0.003485335551922871,5,132369710,132395613
AOR,cis,1,CDK13,2.6454518928215268e-8,4.158479701199774e-7,7,39950121,40099580
AOR,combined,1,MAGI3,3.167833722104656e-15,1.0597382421841638e-13,1,113390515,113685923
AOR,combined,1,ZNF223,2.1795525165238404e-7,2.980624925597229e-6,19,44051367,44067999
AOR,combined,1,ZFP91,9.209502455873878e-15,2.9985237506106953e-13,11,58579063,58621550
AOR,combined,1,NFYB,2.1779160310241134e-11,5.102396547682935e-10,12,104117086,104138241
AOR,combined,1,CTD-3253I12,3.658632034258185e-35,2.8601900684863908e-33,,,
AOR,combined,1,TAP2,2.8437383952221256e-16,1.0214400884460014e-14,6,32821833,32838770
AOR,trans,1,GNAZ,0.0020052901901311394,0.011176262786704966,22,23070519,23125032
AOR,combined,1,MKRN2,8.107232166355076e-7,1.0155923482428865e-5,3,12557057,12586208
AOR,trans,1,RPL22,1.8784653945161472e-7,2.6005005305332915e-6,1,6185020,6209389
AOR,combined,1,LINC02398,2.3640800818906072e-9,4.2932281636222094e-8,12,20014780,20098868
AOR,cis,1,ZNF738,1.3097228864127355e-11,3.1543391888744286e-10,19,21358930,21388582
AOR,combined,1,MRPS6,4.089859760583576e-49,4.860947954469211e-47,21,34073224,34143034
AOR,combined,1,DOCK5,1.5663270635719763e-5,0.00015184439882200742,8,25184689,25418082
AOR,trans,1,ENSG00000259758,0.0009244348602146067,0.005742484427747841,,,
AOR,combined,1,BICC1,7.8893959833247e-8,1.1545055793175157e-6,10,58512872,58831435
AOR,combined,1,TNRC6B,1.8740257941235095e-10,3.969619981613503e-9,22,40044817,40335808
AOR,cis,1,ZBTB46,3.113507099884798e-6,3.469234778446331e-5,20,63743668,63832038
AOR,combined,1,BORCS7,3.0808882663338764e-16,1.0958517169229913e-14,10,102854259,102864961
AOR,combined,1,COMMD2,7.412964380066231e-9,1.2645288946579723e-7,3,149738472,149752495
AOR,trans,1,FARSA,8.090567954552281e-12,2.0218121867965777e-10,19,12922479,12934037
AOR,combined,1,CSRNP3,1.3369077199622143e-5,0.0001319666033634545,2,165469647,165689407
AOR,combined,1,PCDHB12,0.000300133192669682,0.0021351080990939567,5,141208697,141212571
AOR,combined,1,KLRK1,0.0002124795342068381,0.001575970730882682,12,10372353,10391874
AOR,cis,1,CCDC181,1.5945606148257542e-34,1.2078177009397772e-32,1,169394870,169460669
AOR,cis,1,RHOU,3.540649245055379e-7,4.714093926545044e-6,1,228735479,228746664
AOR,combined,1,NT5C2,3.568064831179257e-23,1.843163949364295e-21,10,103087185,103277605
AOR,trans,1,NPHP1,0.0003201297780526168,0.0022663327967802445,2,110122311,110205066
AOR,combined,1,CCT8,0.0001072820897221672,0.0008663444687016355,21,29055805,29073797
AOR,combined,1,ENSG00000196963,2.6294307456766693e-16,9.491480893719243e-15,,,
AOR,combined,1,MRC2,3.453443979258946e-5,0.00031416239908392367,17,62627670,62693597
AOR,combined,1,ING1,6.76681101467638e-5,0.0005758091398344237,13,110712736,110723339
AOR,combined,1,NEK5,0.0018685780797583111,0.010482249788176037,13,52033611,52129092
AOR,combined,1,MED8,0.00022695753965037144,0.0016697998350019025,1,43383917,43389808
AOR,combined,1,AIDAP2,1.1037258589990601e-7,1.5850142813598955e-6,4,158270378,158278676
AOR,combined,1,DLGAP1-AS5,7.868913290941366e-9,1.3298918312170154e-7,18,4264602,4295405
AOR,cis,1,UTP11,4.2194918162407265e-16,1.4721897580339663e-14,1,38009258,38024820
AOR,combined,1,ATP6V0A1,5.170234223094364e-8,7.873297302855886e-7,17,42458844,42522582
AOR,cis,1,TWIST1,1.658191080431908e-12,4.497420297742869e-11,7,19020991,19117636
AOR,combined,1,PAN3,6.030744988028157e-8,9.005465166687093e-7,13,28138506,28295335
AOR,trans,1,ACSL6,1.8644860304194898e-7,2.5860456621159886e-6,5,131949973,132012243
AOR,combined,1,UBE2Z,0.0015341707799770088,0.008809129077959109,17,48908407,48929056
AOR,combined,1,SRP54-AS1,0.0004081453265330071,0.002806527994203294,14,34920858,34982532
AOR,combined,1,ERP27,3.88087184927696e-9,6.794564982120428e-8,12,14914039,14938537
AOR,cis,1,GCFC2,0.002584871894032727,0.013913196693249058,2,75652000,75710985
AOR,combined,1,CDC42EP5,2.274834697712628e-6,2.6268411094676865e-5,19,54465026,54473296
AOR,trans,1,SUCLG1,9.08054950885209e-12,2.2423742106403497e-10,2,84423528,84460045
AOR,combined,1,MAPK9,3.8151353648200515e-5,0.0003445016641549672,5,180233143,180292099
AOR,combined,1,HABP4,4.547598930200384e-5,0.0004031616055827739,9,96450169,96491336
AOR,cis,1,HBS1L,0.0002831661733192457,0.0020317390721868007,6,134960378,135103056
AOR,cis,1,ZFP82,6.454117296761282e-16,2.230561247313314e-14,19,36383120,36418644
AOR,cis,1,UGDH,2.6509988196030162e-5,0.00024559538494154943,4,39498755,39528311
AOR,cis,1,CR1,1.4502029459549388e-8,2.3661291146110771e-7,1,207496147,207641765
AOR,trans,1,PFDN5,1.4317489241053443e-8,2.341245807773605e-7,12,53295291,53299452
AOR,combined,1,HLA-DQA2,1.4418914990799935e-12,3.9547895514159625e-11,6,32741391,32747198
AOR,combined,1,RPS6KA5,0.0021783233369484403,0.011971793647709129,14,90847861,91060641
AOR,combined,1,MCEE,5.880789899446683e-6,6.211796816584073e-5,2,71109684,71130239
AOR,cis,1,XPO6,2.7602748865215627e-25,1.576267912736669e-23,16,28097976,28211965
AOR,combined,1,PLD5,0.0002233809873508481,0.0016492962899404286,1,242082986,242524697
AOR,combined,1,ADAM1A,1.2555929606023506e-9,2.390040819146584e-8,12,111899263,111901391
AOR,combined,1,CTD-2561J22,3.011623271021553e-19,1.3463896787468991e-17,,,
AOR,cis,1,ADAMTS9-AS1,1.1525918702089283e-11,2.794318499267715e-10,3,64561322,64592757
AOR,trans,1,LMAN2,0.001321511803814606,0.007758707252998284,5,177331567,177351668
AOR,cis,1,CCDC6,5.625482611525886e-6,5.959342775209922e-5,10,59788747,59906556
AOR,cis,1,DNAJC3-DT,0.0005871055484568671,0.0038679116777336374,13,95648733,95676955
AOR,trans,1,SERTAD4,1.876330396945708e-10,3.969619981613503e-9,1,210232796,210246631
AOR,combined,1,CALCOCO2,3.6832439256534244e-8,5.703955820882141e-7,17,48831018,48866522
AOR,combined,1,ENSG00000108294,0.00046185953602263807,0.003127338840720216,,,
AOR,cis,1,PPFIBP2,8.42161569848105e-20,3.871559745160203e-18,11,7513298,7657127
AOR,combined,1,EPG5,0.001217951502392335,0.007227886625690862,18,45847609,45967329
AOR,combined,1,NIPSNAP2,9.512374214798027e-6,9.57723138466659e-5,7,55951793,56000181
AOR,combined,1,RAB5B,1.3489107812463058e-10,2.9430837160979357e-9,12,55973913,55996683
AOR,cis,1,FURIN,1.329459231010839e-141,8.098068540894773e-139,15,90868588,90883564
AOR,combined,1,DNAJC18,0.0006219684641851734,0.004059649947222049,5,139408588,139444491
AOR,combined,1,ZNF322,0.0011027048006803206,0.006658593451708065,6,26634383,26659752
AOR,cis,1,CTBP1,0.00027358000421730033,0.0019711513463049352,4,1211445,1249953
AOR,combined,1,GOLPH3L,3.8463373437689096e-44,4.016404502910435e-42,1,150646230,150697154
AOR,cis,1,PCDHGA9,7.373701014293359e-5,0.0006188067458550782,5,141402778,141512975
AOR,combined,1,STK33,1.3670059587822208e-6,1.6461499268070253e-5,11,8391868,8594289
AOR,cis,1,PTP4A2,1.991797950778845e-6,2.3294475393948746e-5,1,31906421,31944856
AOR,combined,1,CNIH1,7.809517097463147e-8,1.1474103562594344e-6,14,54423561,54441391
AOR,combined,1,YY1AP1,7.642424886812288e-12,1.9229709022428373e-10,1,155659443,155689000
AOR,cis,1,RAB30-DT,0.0011446457139086472,0.006872105006829779,11,83072052,83107789
AOR,cis,1,TRIM27,2.833798978803022e-9,5.0831051866406596e-8,6,28903002,28923988
AOR,combined,1,LINC00662,0.0006692522174311766,0.004327199542957263,19,27681072,27794005
AOR,cis,1,ASAP2,3.5150996069087436e-6,3.88011963147186e-5,2,9206765,9405683
AOR,cis,1,PAXX,0.00016340186339621672,0.0012441520005152563,9,136992422,136993984
AOR,trans,1,RPL26L1,0.0008239267219292164,0.005173962520568391,5,172958729,172969771
AOR,combined,1,PLB1,0.0002588901757315778,0.0018773390272916347,2,28457145,28644142
AOR,combined,1,PPP1R3C,2.0836130154745884e-11,4.897165006833103e-10,10,91628442,91633071
AOR,trans,1,HP1BP3,0.00014324041794930488,0.0011103031124076819,1,20740266,20787323
AOR,trans,1,ATP6V0E1,8.967863871261686e-6,9.104250134303791e-5,5,172983771,173035445
AOR,combined,1,AC023271,3.8423367278410576e-252,7.021457324050197e-249,,,
AOR,trans,1,POLR3F,6.57320022652525e-6,6.908239691701843e-5,20,18467389,18484646
AOR,cis,1,DLGAP1,7.446719585979671e-8,1.0985226400346802e-6,18,3496032,4455307
AOR,combined,1,CHORDC1,0.0007784689481009353,0.004937283102944717,11,90200429,90223077
AOR,combined,1,ME3,6.295973042753256e-5,0.0005407804342656278,11,86441108,86672636
AOR,trans,1,ILDR2,0.00036888237343349497,0.0025637814900541477,1,166895711,166975540
AOR,combined,1,ADAM17,7.743596700198512e-8,1.1400165172225784e-6,2,9488486,9556732
AOR,combined,1,RTCA-AS1,0.0002874277901866479,0.002054722183246262,1,100251528,100266179
AOR,combined,1,DCUN1D5,3.4043598534614712e-9,6.03984668662054e-8,11,103050686,103092194
AOR,trans,1,CLSPN,2.868617852086935e-6,3.228354455708923e-5,1,35720218,35769978
AOR,cis,1,AC016747,7.080219221542716e-5,0.0005982989872816934,,,
AOR,cis,1,ENSG00000184886,1.2385357391732967e-7,1.7630140185953675e-6,,,
AOR,combined,1,NUDT19P5,0.002464961907921222,0.01329225340444165,4,158182825,158183393
AOR,cis,1,TSPOAP1,2.2132179744184063e-6,2.557710163480054e-5,17,58301228,58328795
AOR,trans,1,SMPD1,1.4416650362295774e-6,1.7303531333858944e-5,11,6390440,6394998
AOR,combined,1,GSG1L,0.0012182442469185501,0.007227886625690862,16,27787528,28063714
AOR,cis,1,WDR25,8.243117568911663e-12,2.0529154299815943e-10,14,100376418,100530303
AOR,combined,1,CACNB4,8.578696153907594e-7,1.0691593092946864e-5,2,151832771,152099167
AOR,cis,1,NUP88,2.1433521727269637e-6,2.498697401363276e-5,17,5360963,5419676
AOR,combined,1,ILRUN,3.8661160790432465e-32,2.6786149433998554e-30,6,34587288,34696859
AOR,combined,1,ATP1B1,1.5350920133485333e-22,7.84668186823154e-21,1,169105697,169132722
AOR,trans,1,GPR18,4.471623025414921e-5,0.0003971485844990324,13,99254732,99261744
AOR,combined,1,CTSZ,4.6589216282792976e-5,0.0004120881621104363,20,58985686,59008238
AOR,combined,1,UBA52,1.8951844711797923e-8,3.0147957168736015e-7,19,18571730,18577550
AOR,combined,1,RP11-166O4,0.0013652686403879191,0.007967613405910819,,,
AOR,combined,1,ERI1,2.9340829508975015e-5,0.00026943229409131803,8,9002147,9116746
AOR,trans,1,SOX4,5.182850849179237e-5,0.00045506364302793555,6,21593751,21598619
AOR,cis,1,DSE,3.63613147635869e-7,4.832418732080699e-6,6,116254173,116444861
AOR,combined,1,DDI2,4.591043046781236e-7,5.992540965167437e-6,1,15617458,15669044
AOR,cis,1,CAV1,3.937397090158121e-5,0.0003540025096003787,7,116524994,116561179
AOR,combined,1,ZNF589,1.428036910272738e-265,3.480313974490592e-262,3,48241100,48299253
AOR,combined,1,ENSG00000228439,2.3544166874430954e-7,3.207757582561089e-6,,,
AOR,trans,1,ENSG00000269591,0.00030359905986430654,0.0021569091423383393,,,
AOR,cis,1,C18orf32,1.625859287948386e-13,4.782381676160454e-12,18,49477243,49487252
AOR,cis,1,RASL11B,0.0010133690668798247,0.006203702842845962,4,52862317,52866835
AOR,combined,1,ZNF24,0.001649532414912037,0.009372139282393731,18,35332227,35345482
AOR,combined,1,PPP4R2,2.3115766773676814e-9,4.2031019211988183e-8,3,72996803,73069198
AOR,trans,1,PRPF3,0.0005050797534582486,0.0033948326049683384,1,150321479,150353233
AOR,combined,1,VPS8,3.8784850055225235e-6,4.23447142589226e-5,3,184812143,185052614
AOR,combined,1,CTSO,3.5528983226418296e-9,6.288113871513428e-8,4,155921580,155953912
AOR,combined,1,SLC41A3,1.9303184626041835e-9,3.53183048871221e-8,3,126006357,126101561
AOR,combined,1,TET2,8.650927290173207e-6,8.85629594222984e-5,4,105145875,105279816
AOR,combined,1,TATDN2,4.786444908365894e-6,5.129988131627639e-5,3,10248023,10281218
AOR,combined,1,TAS2R12,6.079340713023e-12,1.5592527906180628e-10,12,10894943,10896952
AOR,combined,1,EIF4E3,4.664665611775846e-6,5.018743135148943e-5,3,71675414,71754773
AOR,combined,1,TMEM41B,5.280835396827353e-13,1.4932404786742944e-11,11,9280654,9314636
AOR,cis,1,CAPG,1.7000869556618752e-11,4.021613463563261e-10,2,85394753,85418432
AOR,combined,1,RPL7P14,2.0299450108083217e-103,6.314007670041296e-101,2,203040108,203040899
AOR,combined,1,RP11-582E3,1.8925825464548172e-12,5.104735100852947e-11,,,
AOR,cis,1,FAM149A,0.002119637880931963,0.01171087913127149,4,186104419,186172667
